dataset,window_size,n_estimators,max_depth,train_accuracy,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp,avg_nodes_per_tree,total_nodes,avg_leaves_per_tree,total_leaves,model_file,feature_list_file
ws32,32,1,16,0.9950368879946345,0.9919666145018258,0.9895842450765865,0.9835580687255329,0.9865619546247818,0.9923772553778232,26726,119,189,11306,857.0,857,429.0,429,random_forest_ws32_trees1_depth16.pkl,feature_list_ws32_trees1_depth16.txt
ws32,32,1,32,0.996367091437514,0.9905320813771518,0.9851813110181311,0.9832100913440627,0.9841947141550921,0.9884387204718077,26675,170,193,11302,1661.0,1661,831.0,831,random_forest_ws32_trees1_depth32.pkl,feature_list_ws32_trees1_depth32.txt
ws32,32,5,2,0.9223898949251061,0.9197443922796036,0.8489471066158183,0.8908220965637234,0.8693806511864839,0.9613640369848301,25023,1822,1255,10240,5.8,29,3.4,17,random_forest_ws32_trees5_depth2.pkl,feature_list_ws32_trees5_depth2.txt
ws32,32,5,4,0.9870556673373575,0.9857329160146061,0.9978173881411422,0.9545019573727708,0.9756791605531101,0.9909072842654871,26821,24,523,10972,19.0,95,10.0,50,random_forest_ws32_trees5_depth4.pkl,feature_list_ws32_trees5_depth4.txt
ws32,32,5,8,0.99239883746926,0.9917318727177882,0.9968,0.9755545889517181,0.9860628709606507,0.9962878480695364,26809,36,281,11214,111.4,557,56.2,281,random_forest_ws32_trees5_depth8.pkl,feature_list_ws32_trees5_depth8.txt
ws32,32,5,16,0.996244131455399,0.9940532081377151,0.9962124548577469,0.983906046107003,0.9900210084033614,0.9974107994025274,26802,43,185,11310,857.4,4287,429.2,2146,random_forest_ws32_trees5_depth16.pkl,feature_list_ws32_trees5_depth16.txt
ws32,32,5,32,0.998692152917505,0.9941836202399583,0.9958648601090974,0.9846889952153111,0.9902453960894099,0.994072658344818,26798,47,176,11319,1667.0,8335,834.0,4170,random_forest_ws32_trees5_depth32.pkl,feature_list_ws32_trees5_depth32.txt
ws32,32,10,2,0.8871786273194724,0.8853938445487741,0.7582745326253001,0.9068290561113528,0.8259250455589889,0.9644335925205278,23522,3323,1071,10424,6.2,62,3.6,36,random_forest_ws32_trees10_depth2.pkl,feature_list_ws32_trees10_depth2.txt
ws32,32,10,4,0.9868544600938968,0.9855503390714658,0.9977254117004822,0.9539799913005654,0.9753624477452637,0.9932812868746694,26820,25,529,10966,21.6,216,11.3,113,random_forest_ws32_trees10_depth4.pkl,feature_list_ws32_trees10_depth4.txt
ws32,32,10,8,0.993796109993293,0.9935315597287429,0.9968195070235887,0.9815571987820791,0.9891294818970807,0.9967602894226851,26809,36,212,11283,128.2,1282,64.6,646,random_forest_ws32_trees10_depth8.pkl,feature_list_ws32_trees10_depth8.txt
ws32,32,10,16,0.9963894477978985,0.994470526864893,0.9971798713316296,0.9843410178338408,0.9907188512389458,0.9974930203200416,26813,32,180,11315,896.2,8962,448.6,4486,random_forest_ws32_trees10_depth16.pkl,feature_list_ws32_trees10_depth16.txt
ws32,32,10,32,0.9987256874580819,0.9943401147626499,0.9977052074139453,0.9833840800347977,0.9904928806133625,0.994579774292693,26819,26,191,11304,1657.0,16570,829.0,8290,random_forest_ws32_trees10_depth32.pkl,feature_list_ws32_trees10_depth32.txt
ws32,32,25,2,0.9048736865638274,0.9023735002608242,0.7754014494813131,0.9493692909960852,0.8536117955336541,0.9713155727574672,23684,3161,582,10913,6.52,163,3.76,94,random_forest_ws32_trees25_depth2.pkl,feature_list_ws32_trees25_depth2.txt
ws32,32,25,4,0.9881846635367763,0.9874282733437663,0.9998184623763275,0.9582427142235754,0.978589196872779,0.9942969430212961,26843,2,480,11015,23.56,589,12.28,307,random_forest_ws32_trees25_depth4.pkl,feature_list_ws32_trees25_depth4.txt
ws32,32,25,8,0.9942320590207914,0.9941053729786125,0.9984959745200389,0.9818181818181818,0.99008684972366,0.9968928419727218,26828,17,209,11286,137.08,3427,69.04,1726,random_forest_ws32_trees25_depth8.pkl,feature_list_ws32_trees25_depth8.txt
ws32,32,25,16,0.9963335568969371,0.9946270213875847,0.9978830378406987,0.9841670291431057,0.9909775753328661,0.9976176949317813,26821,24,182,11313,897.96,22449,449.48,11237,random_forest_ws32_trees25_depth16.pkl,feature_list_ws32_trees25_depth16.txt
ws32,32,25,32,0.9995193382517327,0.9943922796035473,0.9974422296701358,0.9838190517616355,0.9905838041431262,0.9952742740189013,26816,29,186,11309,1650.52,41263,825.76,20644,random_forest_ws32_trees25_depth32.pkl,feature_list_ws32_trees25_depth32.txt
ws32,32,50,2,0.9026827632461435,0.9001825769431403,0.7753123653597587,0.9392779469334493,0.8494551748554345,0.974518116706098,23716,3129,698,10797,6.6,330,3.8,190,random_forest_ws32_trees50_depth2.pkl,feature_list_ws32_trees50_depth2.txt
ws32,32,50,4,0.9881175944556226,0.987584767866458,0.9978313906207644,0.9606785558938669,0.9789025795585498,0.9944935042250751,26821,24,452,11043,23.36,1168,12.18,609,random_forest_ws32_trees50_depth4.pkl,feature_list_ws32_trees50_depth4.txt
ws32,32,50,8,0.9942767717415605,0.9941053729786125,0.9984959745200389,0.9818181818181818,0.99008684972366,0.997155126116281,26828,17,209,11286,139.48,6974,70.24,3512,random_forest_ws32_trees50_depth8.pkl,feature_list_ws32_trees50_depth8.txt
ws32,32,50,16,0.9963000223563604,0.9945226917057903,0.9976188376400035,0.9840800347977382,0.9908031882280809,0.9978212574871403,26818,27,183,11312,875.8,43790,438.4,21920,random_forest_ws32_trees50_depth16.pkl,feature_list_ws32_trees50_depth16.txt
ws32,32,50,32,0.9998993963782696,0.9944966092853417,0.9977942473972119,0.9838190517616355,0.9907573700118271,0.9955520742334465,26820,25,186,11309,1657.32,82866,829.16,41458,random_forest_ws32_trees50_depth32.pkl,feature_list_ws32_trees50_depth32.txt
